Term,Description,Tags,Example,Image,Source
Input Types,"The input keyword is used to describe an object that may be used as an input parameter. Instead of duplicating each individual argument, this object may be reused across different operations.","type,spec","The input type PersonInput for example, has been utilized in both the query and the mutation instead of individually specifying age and name parameters for both. 

input PersonInput {
 name: String!
 age: Int
}

''' Says hello to the specified person '''
type Query {
  hello(person: PersonInput): String!
}

type Mutation {
  createPerson(person: PersonInput!): Person!
}",Input Types (https://v5.airtableusercontent.com/v1/21/21/1696392000000/Y4ypA-KLMLYLVFaUnQ8Suw/vQXmXjrmyekkFGoVsofqEkR-e-_-pOulVy7ZCf7KM8OdXNUn3x5Y7GvyNx3Y91vaszDaSMqP8m40lo0rRf0cKVD8f-Xhtrj_k5kA1RnAFTU/scOR-MzavOd6XgmtpxVse1MPqfHBu4ftJC12cWl7SJs),
Output Types,Output types are objects that are returned as a response to GraphQL operations. ,"type,spec","For a query that searches for a particular book, the output type may be represented as a Book that includes title, author, ISBN, year it was published, publisher details, etc., while the input argument required to find the book may contain just the title and author. 
search(book: BookSearchInput): Book",Output Types (https://v5.airtableusercontent.com/v1/21/21/1696392000000/Z91s21hf4--byOBnCdcGLQ/8jNy_jRg5idhYdoj7k4yo4EywG4uzP7ai2yx2d_kwVaQZD3SgvEhCx9Uqk9INKlGjQg3nPPpAsf47IqCkA0DO_M2Sh8bmJcImm4L3deD5Ro/g3KyHAzfB-snAYkmejOvwMPZNZ-21Q1SCr6lIapMC9U),
Operations,An operation describes the actions executed by the GraphQL API. GraphQL supports three types of operations.		,"operation,spec","The three types of GraphQL operations are queries, mutations, and subscriptions.",Operations (https://v5.airtableusercontent.com/v1/21/21/1696392000000/u-9ml1hdJ5bWM0ZOnZH2hg/ZzPwo2Mbxp7Fo4KLOkFiw1QoJEYQ_nu-wR8q9HFMa0K0IcghaNNWUDEKj6Rp5avajyDv-n_2z5GZvhJZ4wYO8SQvzpyE7ccLegvzlAIwH-8/YnahmesCqRjMsraJz9QI5pyLIrZbky6kFFwoiSehlf4),
Directives,"A directive can be applied to a field to instruct a resolver function on how to execute that query. 
",spec,"The GraphQL specification includes directives such as @skip, @include, @deprecated and @specifiedBy",Directives (https://v5.airtableusercontent.com/v1/21/21/1696392000000/-YPE3tykA_RT77LXX16VOg/d5Ic4Ua_sgPfAlEd9ZAQAVM6lCwpdTaOQqRvkfxg3IrqZk-0w8i8ygpI-0bZOZJgg5mfFf0zGkTd1cgtk-u4uhnHISdvfee1JUR3GVf2Big/CVHeg3JBe1-8MjRNbuD9u-NMDKgzWXQu26MCxqa8rmM),https://hackmd.io/@gqlnstuff/rkdkuBmyn
Object Level Authorization,"Object level authorization in GraphQL is the process of controlling access to specific objects in a GraphQL API based on the authenticated user's permissions. This allows you to restrict access to certain data based on the user's role or other criteria. When a client makes a request to a field or object, the authorization logic is checked before returning the data. If the user is not authorized to access the data, an error or null value is returned instead.","non-spec,security","type Mutation {
    updatePost(id: ID! content: String!): Post
      @auth(rules: [{allow: owner, operations:[update] }])
",Object Level Authorization (https://v5.airtableusercontent.com/v1/21/21/1696392000000/n3Y6YRkt6d_xk9dGD1N5iw/sPPRO1nPDkZN5nCkbdrG5ImospfxpPNqpj1AkR-OMRZU2ap7o_pLADBJU0h7lQjpqXutH1K4ep5gQCrkmd1D7r7JGt71h3OZFq4OnCzRTB1FQAZwIptPlz_gpnJK7b3c/8OTXASudJkXaHGdNcO2ugjHNavyZolbscCCJ1NOD-9U),
Pagination,"Pagination in GraphQL is the process of splitting a large result set into smaller ""pages"" of data that can be retrieved by the client application. Pagination is a common technique used in APIs to optimize performance and reduce the amount of data that needs to be transferred over the network.","non-spec,performance","query {
    items(first: 10) {
       pageInfo {
          hasNextPage
          endCursor
       }
    }
}",Pagination (https://v5.airtableusercontent.com/v1/21/21/1696392000000/0UtecpCLEKC4uawFNH-ByA/A2nJYX7HSeU1okvJU_i6y6y1sGVJJYy2YLipjAFxkTZ6LTBDzarCbXvrPIuOJibhRaHiMWGkDSJbGtYAJODmvaJoOKTKSJhIkh7X3RVkgEM/I0IhESzAiMfI_SfyyT2QMGc8vEPYJ-TQ4GFMJcpA_VA),https://hackmd.io/@gqlnstuff/BkISy3Gf2
Persisted Queries,"Persisted queries improve GraphQL API security because the client can only send a query by passing a hash to call a query stored on the server. The query is persisted on the server, and when it receives a hash that matches, the query is executed on the server. A response is then sent to the client.","non-spec,security","curl -X POST -H 'Content-Type: application/json' http://0.0.0.0:8888/ \ -d '{""extersions"":{""persistedQuery"":{""version"":1, ""sha256Hash"":""3859372896b05b73942338e77202732793gfh8683234939539c93038wfa83203484""}}}'

",Persisted Queries (https://v5.airtableusercontent.com/v1/21/21/1696392000000/6HAbWgxEfJ64jrq05UNCXw/4hoB1-lLWg0pdOOMrBefzeZu3VLjQcNTvZhvgoIX1ajRer3C_9PdxTXKbNHbriuR0ge8E5U93Wa1oxk9bcqypUjONx5CUqVlCzZIu9NgF9o/Cp0CNeU8FkClpZXSRVirvNNLcvZ86SFVGEFV0l9HxTs),
Caching,"Caching in GraphQL is the process of storing the results of queries in a cache to improve performance and reduce the amount of data that needs to be retrieved from the server. Caching is a common technique used in APIs to optimize performance and reduce the load on the server.  In GraphQL, caching can be implemented in several ways, including using a server-side cache, a client-side cache, or a combination of both.","non-spec,performance","To implement caching, you can add a cache layer that stores the results of queries for a certain period of time. When a client application requests data, the cache is checked first to see if the data is already available. If the data is not available, the query is executed and the result is stored in the cache for future requests.

Server-side caching example - Redis
Client-side caching example - Apollo client","Caching server side (https://v5.airtableusercontent.com/v1/21/21/1696392000000/qRS2y0-aRi_vqvTGF7juqA/LY3romQjXn5Ys0E8uyIR4tXHpzoTrsCybvkKX4e11g4lWlWwIS8P__avNuzVbrqrXxCs32Is07IyK8BssojFJkAfxJZwvBeZxrabfULlYWcWCLUqHbc1idKRLt86uToI/JQw1TFboCA_rukUZhCQsIHxd6FDmefS93RcAxwvjYgc),Caching client side (https://v5.airtableusercontent.com/v1/21/21/1696392000000/dXwx15A-EDp3CSmdfVA7_w/6oz-Txl0ytn1pzs5fMZXcA-7vW1p53NphCrAjUwk93nbjLZqYIxMmO-vMk5ClkcO27dTi649axvtiQOBgesUuTo6VBe5VGNFKjc0YOXOlws/0Eh30eYCcnBLlT2ekwR9wjTcykGp0XgpNouRsBwlZlg)",https://hackmd.io/@gqlnstuff/BymgF-1D3
Batching,"Batching is a technique that is used with GraphQL to resolve the N + 1 problem. The N+1 problem refers to the issue that can occur when the server makes one request for the initial data set, and then makes additional requests for each related item in the data set.  The DataLoader library is the most common batching and caching solution used with GraphQL.","performance,N +1 problem,non-spec","const { request } = require('graphql-request');

const ENDPOINT = 'https://your-graphql-server.com/graphql';

async function getUsers() {
  const query = `
    query {
      users {
        id
        name
        posts {
          title
        }
      }
    }
  `;

  const data = await request(ENDPOINT, query);
  return data.users;
}

async function main() {
  const users = await getUsers();

  // Here, we will make one additional request for each user's posts
  for (const user of users) {
    console.log(`${user.name} has ${user.posts.length} posts:`);
    for (const post of user.posts) {
      console.log(post.title);
    }
  }
}

main();



","Batching server side (https://v5.airtableusercontent.com/v1/21/21/1696392000000/Lnzwx6dqSw3-G0QI8-iVdA/9bSWJRb9H0FpmOpoqnW6BzJ2BAKOrDS9kNKrTzbUNmcwUhpn0o03_WQMduNmXZWgIGGw11M2Be0uZgy7CzSIlQYjg-G1pVakwzrVr_z4ggM/PqGfQrQnFzVl1sZV84dHidlUwp_etMKha_izBl1RLAs),Batching client side (https://v5.airtableusercontent.com/v1/21/21/1696392000000/spnTJyT6PfASUtlfesqFLQ/wHMI0MWt5pt9CaFWxLHk-fRnu5HbURKtEsstnTD3Swz_lSVouapi2trFSXPdRRF5hNWILIkCPHoSixj_-HmaSLL_kdx9XxaBxCqO6F-cNdI/2W4tYiVgdMcE_9oyL4oL2biNbFIk9rqDbAMIcUDye9E)",
Introspection,"Introspection is the capability of returning parts of a schema or the full schema from a GraphQL API using a special client query. It can be used for schema exploration, client code generation, query validation, and documentation generation. In Example, are all of the types that can introspect the schema or parts of it.","schema,spec","__Schema
__Type
__Field
__InputValue
__EnumValue
__Directive

",Introspection (https://v5.airtableusercontent.com/v1/21/21/1696392000000/z2ZMNWSGjai7zXVRKFVPRw/XDtlx1ma_1vhyYb3VZ_Jrhepv0QfmWbnpTKGaTuYCKYBgYMQwhQEPNYSL-dBd68sNnP-GkuSze-NYKEv3LnvXhE3gAmvkkX4gkvcpqccTRk/n_sZ5rSAsd6fvWCRvq5sW27NAt8V1laOqZCCHQxEe_M),
Custom Scalar Types,"The most common custom scalar type in GraphQL schemas is DateTime, because it isn't a built-in scalar or described in the specification. Custom Scalars can also be used to define other units of measure or whatever is needed by a given implementation.","scalars,schema,spec","scalar DateTime

type Cake {
  id: ID!
  name: String!
  price: Float
  available: Boolean!
  hasFrosting: Boolean!
  hasFilling: Boolean!
  hasToppingOption: Boolean!
  toppingKind: String
  whenCreated: DateTime!
  lastUpdated: DateTime!
  }",Custom Scalar Types (https://v5.airtableusercontent.com/v1/21/21/1696392000000/Ue-kpi9w3aNwMKvE7h3TCw/SyDP7VxOmS5qssqxBnL8n7FBYME1OxjDZIBp2AgbI3DkakQaHOX830sakAKgVm8fdh4uPFqVuJ0nQgm-3QiW3r1sTWgo1gJEY6kpgg1NG-w/rzOFz2DLX156hTz7vmNCKWN4MtwLlQeASl6uDBtzgLM),
Scalar Types,GraphQL specifies a list of scalar types to identify the data structure of an object field. The list of built-in scalars is given in the Example below.,"scalars,spec","
- Int: A signed 32‐bit integer.
- Float: A signed double-precision floating-point value.
- String: A UTF‐8 character sequence.
- Boolean: true or false.
- ID: The ID scalar type represents a unique identifier, often used to refetch an object or as the key for a cache. The ID type is serialized in the same way as a String; however, defining it as an ID signifies that it is not intended to be human‐readable.
",Scalar Types (https://v5.airtableusercontent.com/v1/21/21/1696392000000/QTx32ImwhWC-uVbKku_wwA/U9Sau3LzcafqydhzDc3BMcU46VIU72FSt2gWITme_-DXozgksFLkVKmGfrHd8uq6yVDuhUkEFs9gNfSTUMJHKGnLnFcASKZM4p7TSu7nZ_0/wpmGTXRNal1LGoRew8B81lplqnn0KphuJzAKjeyTavM),
Fragments,"In GraphQL, a fragment is a reusable piece of a GraphQL query that can be shared among multiple queries. It allows you to specify a set of fields that you want to retrieve, and then include those fields in any query that needs them.
Fragments provide the ability to send several queries in one request this capability is a key to reducing the number of round trips to the server to fetch data.","field-level,spec","Example 1 Schema Definition
fragment UserFields on User {
   id
   name
   email
}
Client call:
query GetUsers {
   users {
    ...UserFields
 }
}

Example 2 Schema Definition
fragment UserFields on User {
 id
 name
 email
 avatar(size: $avatarSize)
}
Client call:
query GetUsers($avatarSize: Int!) {
 users {
  ...UserFields
 }
}
",Fragments (https://v5.airtableusercontent.com/v1/21/21/1696392000000/TI21qXlgGsf8LbzE-HzEcw/lFwo0_dXlYKtHhJKe_2lx0Cj9jFboo-nWDmaBAG3uAD948Gr4vnnJw493FxIuclnPkI_sQbERYDhJlSQJSyUJOihal9XEHytEl6PmFzU0GA/V-YMhEflPixycDMh3S1Ci-rfx33_H6VY9QlLQhCgGA4),
Execution Engine,"The GraphQL execution engine is responsible for handling the entire request-response cycle, from parsing and validating the query to executing the query and returning the result. It's an essential component of any GraphQL implementation and allows developers to define a clear contract between the client and the server.","spec,implementation","Steps:
1. Parsing
2. Validation
3. Execution",Execution Engine (https://v5.airtableusercontent.com/v1/21/21/1696392000000/gX41ALUFAw7kulSHukplZQ/c12nTrextN0R5Xu042_QNvmD7udSTqsOxRl50VWd1kGLgOVvu_ccpH50FQCFxWMB4h7imwn1JGb7UMDOgvXiLzEp9yT2EMn1PI_KIyfvqbQ/2Q04fpctepXyB1VJExEyalIaT9Sh2z3Ir427b-CEsR8),https://hackmd.io/@gqlnstuff/SyeopuApi
List Types,"List types represent an array of values of a specific type. In the example, Post is the list type.","type,spec","type User {
    id: ID!
    name: String!
    email: String!
    posts: [Post]!
}",List Types (https://v5.airtableusercontent.com/v1/21/21/1696392000000/jqjtf8ZtbNZcvmd65GUF1Q/o_o-Iy_nvlPXf9DAEhlSgnM9KICLk25EqM2dHlKwxiOLA3cT2stKLiQLF2c1y_3XQTYUm026dS9MsYGBLnGQQOiyAPov_L0UFqMfdBsr_bE/hGmi6zxAzc1f-D0RmL0SoY2xARiYfz_MKePOD1htmvk),
Fields,"In GraphQL, fields are the basic building blocks of a query or mutation operation. Fields are used to request specific data from an object type and are expressed using the name of the field followed by any necessary arguments and a selection set.",spec,"query {
  user(id: ""123"") {
    name
    email
    posts(limit: 10) {
      title
      content
    }
  }
}
",Fields (https://v5.airtableusercontent.com/v1/21/21/1696392000000/NLH93D38WCTGoiNE-q24Og/UzfLMpRiu7JoS9PV_U-KHXgCDDX5xMGKwyQy_dul9hKz0byJbSzs4EgqunBioLQYWqSLke57v1kKcq-za7g4_2HWa3eLKV4L0RRPK1zq8so/6UNHEgsgDsZ7hsCCxUObpGnsdeaHNnrJkbPm5aXn5cI),
Arguments,"In GraphQL, arguments are used to filter, sort, paginate, or otherwise modify the results of a field. Arguments are expressed using the name of the argument, followed by a colon and the value of the argument.",spec,"query {
  user(id: ""123"") {
    name
    email
    posts(limit: 10, sortBy: ""createdAt"") {
      title
      content
    }
  }
}
",Arguments (https://v5.airtableusercontent.com/v1/21/21/1696392000000/UTjciN7eOwmIC1EthodzeQ/NpGoMHNAxMJBjZflbby3GTUdppXXxz_o3F45Nl5ViF1t0yT_nj_9wIyO0MQqN6qDn_62AwWk1Spj9QjvsVxnLjayVolha-zpW5w4Mh8upyE/xwzX5Bd0OFt9ajTBAMKQlxo8uEqybkQhHshvKm1S5wI),
Field Alias,"In GraphQL, a field alias is a way to assign a different name to a field in a query. Field aliases are expressed using a colon followed by a new name for the field.

Overall, field aliases are a simple but powerful feature in GraphQL that can be used to improve the clarity and precision of queries, resolve naming conflicts, and make it easier to work with complex data structures.",spec,"query {
  user(id: ""123"") {
    name
    shortBio: bio(words: 15)
    longBio: bio(words: 50)
    address {
      street
      city
      state
    }
  }
}
",Field Alias (https://v5.airtableusercontent.com/v1/21/21/1696392000000/gy4s9uuCIyoq79XSHVskXQ/64XxvlWgJcN1VM7mGDWfoRKWKpPWc9FmO-msoq7r1SRaftGIu3L0uZ525rA-bl6iFdGMe8yX8lm8-pf6v537xf5xPMdsi0iTpY6_tOFw1S8/tZK66eybiF6rIVbBg-XdqRHZnIW-lYN6ECAPySxdAqU),
Inline Fragments,Inline fragments are used to conditionally include fields in a query based on the type of an object. Inline fragments are expressed using the ... syntax followed by the name of the object type and a selection set.,"spec,client","query {
  user(id: ""123"") {
    name
    booking {
      ...on Hotel {
        propertyType
      }
      ...on Flight {
        stops
      }
    }
  }
}
",Inline Fragments (https://v5.airtableusercontent.com/v1/21/21/1696392000000/4YKXv9P-m9Sxo_SU8n6u8Q/dP25JVb7no6sz8VaN0KcnSqomoNsoeaCkhQcAQ1WSxh5RJKoq9_OorMCRQ09lNO3HWlfzxwfCzc8QxqaNT6dZl9OMQ3zd2rOkL-Mc9_6BwU/5fE5JkIx9AxkVxnerqwoogWgejNGZQdxBr6y5qzAW6s),
Type References,"Type references in GraphQL can be used to define relationships between any object types, and can be used to model complex relationships between data types. They allow developers to define clear and well-structured data models that can be easily queried and manipulated using GraphQL.",spec,"type Post {
  id: ID!
  title: String!
  content: String
  author: User!
  comments: [Comment!]!
}

type User {
  id: ID!
  name: String!
  email: String!
  posts: [Post!]!
}

type Comment {
  id: ID!
  text: String!
  author: User!
  post: Post!
}
",Type References (https://v5.airtableusercontent.com/v1/21/21/1696392000000/i1-xiJbHsq_UdXzO8W4UEw/LyzP70g-E6HrLBcEVmpBQEOyK0utyh3v3zLv9gxpYXhFNrgxoYVSK6DW_7158_PtKHmTKyis7p96RFLhN7aQDSCezNDyUaYVEA5lgiQtNlE/aLg69d27v5QJ-X-qecrhDKwV3ag1m2O8TmIdCJ2Ju50),
Root Operation Types,"In GraphQL, root operation types are the three entry points to a GraphQL API: query, mutation, and subscription. Each of these types represents a different kind of operation that a client can perform on the API.","spec,operation","type Query {
  user(id: ID!): User
  posts(limit: Int): [Post!]!
}

type Mutation {
  createUser(name: String!, email: String!): User!
  createPost(author: ID!, title: String!, content: String!): Post!
  updatePost(id: ID!, title: String, content: String): Post!
  deletePost(id: ID!): Boolean!
}

type Subscription {
  newPost: Post
}
",Root Operation Types (https://v5.airtableusercontent.com/v1/21/21/1696392000000/ypAuzbO_ETbR5ZF2wTUvlw/3wArB_HbZcgoFzGQNUN038s4mZhRAsiyeIElXQOrw6JEpct0M27d9TsPJNsUv2RCzVxkh_obLkaAcgQ6SgcsQJYCt1n06H2SqvMv5MtHBPg/F4ECOPuQztVGj3XzMsA2fNSfwvtSd4MKqQPUH9tsiyQ),
Type Validation,"In GraphQL, type validation is the process of checking that a query is well-formed and satisfies the schema. Type validation checks that each field and argument in a query is of the correct type and that all required fields and arguments are present.

Type validation in GraphQL is an important step in the process of building a GraphQL API, as it ensures that queries are well-formed and conform to the schema. By validating queries against the schema, developers can catch errors early in the development process and ensure that the API is consistent and easy to use.","spec,schema",,Type Validation (https://v5.airtableusercontent.com/v1/21/21/1696392000000/ZkK3jCap9-YsuNUlsvZLpg/5WYnITyOQSYRF-p11neUT6X7OZrVvLKQ6trKBHxQaW8c1NyZ75lD30Ym-xCAtHAAhEVNZ5KzI5O_l68Uvb2BZ4ArkKr8K8EJvkQGEslpp38/wdtY5X-nHvGMDqPby7rXPZ19JZ1JB-I3KBEIxLMXH7c),
Named Types,"Named types are used to define custom object types, scalar types, and enumeration types. Named types are defined using the type keyword followed by the name of the type and its fields or values.

Overall, named types are a powerful feature in GraphQL that allow developers to define custom types for their data, providing more control and flexibility over the types of data that can be returned from a GraphQL API.",spec,"type Post {
  id: ID!
  title: String!
  content: String
  author: User!
  createdAt: DateTime!
  status: PostStatus!
}

type User {
  id: ID!
  name: String!
  email: String!
  posts: [Post!]!
}

enum PostStatus {
  DRAFT
  PUBLISHED
  ARCHIVED
}
",Named Types (https://v5.airtableusercontent.com/v1/21/21/1696392000000/5IF12G-2ypuX5LxWUUDHqA/ygOh1B07domoB0fn2uM_fvi6LHU_2JkfxamSAl23RYXRT30tiL7l8hXZ1qOi4Huv2rQG5t8dDxlY_vSqy0WG4XzZNH4pPSZJNrREykxmPww/mgmSBKODgKzHXGLvLdAdHp1iNI-dF-BT6PVfrUOYNrM),
Compilers,A compiler transforms GraphQL queries into an optimized representation. This representation can then be used to optimize performance.,"non-spec,performance","Client-side compiler - Relay
Server-side compiler - Apollo","Compilers server side (https://v5.airtableusercontent.com/v1/21/21/1696392000000/1jJxFvmX9J8LI_gWZ4lUEg/RTiCfYD9--FeKzvN0ppaW_pnx55-2BLAUUYJ1JCMnW_odHi_3M4i2y4PYPwFPVk_kPqQLN2W4V-r1i1gDttbrdy8MVp8qgYbKO84CnSSIBQ/a8CSqdc1-XKcRSXMo_aCXum2XC3kw_LEugudJ4k2r0Q),Compilers client side (https://v5.airtableusercontent.com/v1/21/21/1696392000000/unfDJMznrBNExQiC3Tvt8A/34yTumcYb3nuCPkiwBEz8ftSvA7YeN8anBXtC755On9EtPLVycfwRyD9hAQScyfRYS9IV3oUd_hYqYQ8QbXaKEWeEd7CQlv3SJnrnTpKhsc/VY7Bh3pQUODuubrgPQR7QXYZL7iAAtLbVjrZnL3GrFg)",
